,artist,number_concerts
37,Lighthouse Family,4
79,jxdn,4
34,Florence + The Machine,4
263,Jeff Beck,4
4,Becky G,4
229,le moon,4
3,Shakira,3
330,Paul McCartney,3
171,The Rock Masters,3
48,Marvin Gaye,3
175,Aerosmith,3
329,Toploader,3
20,Purple Disco Machine,3
295,KAROL G,3
172,Nine Inch Nails,3
142,Marshmello,3
357,Nicky Jam,3
179,Simple Minds,3
266,Goodboys,3
241,Flight Facilities,3
352,Leiva,3
298,Los Bravos,3
198,Roy Orbison,2
346,Taburete,2
255,Kate Rusby,2
256,Steve Forbert,2
85,FIDLAR,2
258,Frank Zappa,2
209,Leonard Cohen,2
240,MAGNUS,2
253,John Prine,2
237,Trinix,2
245,Colin Stetson,2
14,Quevedo,2
272,Eminem,2
9,Manuel Turizo,2
281,Junior H,2
306,Jean Knight,2
248,Huey Lewis & The News,2
294,PinkPantheress,2
310,Sam Cooke,2
354,Sebastian Yatra,2
287,Natanael Cano,2
75,Otis Redding,2
232,PLÜM,2
146,Soundgarden,2
319,John Lennon,2
201,Motörhead,2
358,Grizzly Bear,1
353,Pablo Alborán,1
2,Angus & Julia Stone,1
13,ROSALÍA,1
365,The Chainsmokers,1
76,Paul Simon,1
342,Stealth,1
274,Bizarrap,1
183,The Jesus and Mary Chain,1
181,The Jackson 5,1
193,Ray Charles,1
178,Beastie Boys,1
199,The Stooges,1
169,Pavement,1
208,Jimmy Cliff,1
235,BAYNK,1
259,Savoy Brown,1
87,Neck Deep,1
188,The Kingsmen,1
15,TINI,1
66,Rusted Root,1
65,Yusuf / Cat Stevens,1
59,Enya,1
297,Miley Cyrus,1
54,Sade,1
304,Spin Doctors,1
43,Spandau Ballet,1
324,The Alan Parsons Project,1
23,JAWNY,1
17,Maluma,1
0,Cocoon,1
